date,1. open,2. high,3. low,4. close,5. volume
2023-08-01 16:00:00,443.392,443.8097,443.0714,443.188,6693283.0
2023-08-01 17:00:00,443.2171,443.4017,412.1058,441.7213,1327591.0
2023-08-01 18:00:00,441.6824,443.4017,440.5459,442.0515,1261071.0
2023-08-01 19:00:00,442.0612,442.1389,441.6436,441.9835,79904.0
2023-08-01 20:00:00,443.4017,443.4017,443.4017,443.4017,849883.0
2023-08-02 04:00:00,439.8077,441.9447,438.7975,439.7689,100995.0
2023-08-02 05:00:00,439.73,440.3031,439.3415,440.1088,206941.0
2023-08-02 06:00:00,440.1477,441.3522,440.1283,441.3522,129903.0
2023-08-02 07:00:00,441.391,441.7698,441.119,441.2842,298544.0
2023-08-02 08:00:00,441.3036,443.4017,438.9145,440.6334,495434.0
2023-08-02 09:00:00,440.6431,441.3327,439.3803,440.002,9308627.0
2023-08-02 10:00:00,440.0117,440.104,437.5347,437.7193,15159763.0
2023-08-02 11:00:00,437.7193,438.7295,437.389,437.4085,11742366.0
2023-08-02 12:00:00,437.3988,438.1723,437.0879,437.933,8864163.0
2023-08-02 13:00:00,437.9281,438.5012,437.5493,437.661,6026079.0
2023-08-02 14:00:00,437.6707,438.1564,437.36,437.7078,5641295.0
2023-08-02 15:00:00,437.7096,437.9816,436.4759,437.2433,21605183.0
2023-08-02 16:00:00,437.2628,443.3579,436.8354,437.0588,16407277.0
2023-08-02 17:00:00,437.0976,437.1753,436.9617,437.0539,98615.0
2023-08-02 18:00:00,437.0976,437.8067,437.0879,437.7873,1274395.0
2023-08-02 19:00:00,437.8262,437.9913,437.7484,437.9573,108458.0
2023-08-02 20:00:00,437.2336,437.2336,437.2336,437.2336,1178138.0
2023-08-03 04:00:00,435.0772,437.5542,435.0287,435.7378,53710.0
2023-08-03 05:00:00,435.796,436.5537,435.796,436.5148,43135.0
2023-08-03 06:00:00,436.4954,436.9131,436.2914,436.4274,62689.0
2023-08-03 07:00:00,436.5343,437.0102,436.068,436.3206,129963.0
2023-08-03 08:00:00,436.5245,438.0301,435.0869,436.0194,638247.0
2023-08-03 09:00:00,436.0292,436.136,434.8053,435.7096,7534501.0
2023-08-03 10:00:00,435.6989,436.4274,434.5527,435.6406,11388751.0
2023-08-03 11:00:00,435.6406,436.9811,435.5338,436.4031,8435518.0
2023-08-03 12:00:00,436.408,437.8262,436.2623,437.6513,5778788.0
2023-08-03 13:00:00,437.6513,437.8747,436.5537,436.6315,6235988.0
2023-08-03 14:00:00,436.6362,437.2239,436.3885,437.0782,4768689.0
2023-08-03 15:00:00,437.0976,437.1365,435.9175,435.9806,12053252.0
2023-08-03 16:00:00,435.9806,439.7251,384.2659,436.3788,8328196.0
2023-08-03 17:00:00,436.2331,450.9029,371.0672,436.31,209819.0
2023-08-03 18:00:00,436.2817,437.1365,435.9806,436.9617,880727.0
2023-08-03 19:00:00,437.0102,437.3016,436.6654,436.9908,69328.0
2023-08-03 20:00:00,435.9806,435.9806,435.9806,435.9806,730503.0
2023-08-04 04:00:00,437.9427,438.5838,437.4182,437.8164,66032.0
2023-08-04 05:00:00,437.8164,438.341,437.6999,437.7873,16592.0
2023-08-04 06:00:00,437.7582,437.7582,436.9617,436.9617,54517.0
2023-08-04 07:00:00,437.0782,437.0879,435.9903,436.408,183838.0
2023-08-04 08:00:00,436.9129,438.5251,435.4658,437.6125,1761211.0
2023-08-04 09:00:00,437.6125,438.9238,436.1409,437.3981,7687574.0
2023-08-04 10:00:00,437.3987,438.506,435.9126,438.3701,11882391.0
2023-08-04 11:00:00,438.3701,438.9821,438.2055,438.8849,6663938.0
2023-08-04 12:00:00,438.8752,439.9194,438.5838,439.7689,6057338.0
2023-08-04 13:00:00,439.7592,439.8126,437.7096,437.8456,7023825.0
2023-08-04 14:00:00,437.8407,437.8407,433.9602,434.3,22660010.0
2023-08-04 15:00:00,434.2904,434.8927,433.4842,433.999,24315110.0
2023-08-04 16:00:00,433.9893,438.4478,433.222,433.931,14814124.0
2023-08-04 17:00:00,433.9068,434.0476,433.8533,433.9845,156883.0
2023-08-04 18:00:00,434.0022,434.135,433.9019,433.9845,1699882.0
2023-08-04 19:00:00,434.0185,434.1447,433.8145,433.999,39099.0
2023-08-04 20:00:00,434.0087,434.0087,434.0087,434.0087,1651117.0
2023-08-07 04:00:00,436.0777,436.2137,434.9218,435.2812,64201.0
2023-08-07 05:00:00,435.3104,435.6503,435.019,435.5532,15088.0
2023-08-07 06:00:00,435.5143,435.5726,434.6304,434.951,45989.0
2023-08-07 07:00:00,434.9898,435.2326,434.8441,435.0481,132289.0
2023-08-07 08:00:00,435.0287,436.272,434.0087,435.864,445935.0
2023-08-07 09:00:00,435.8349,436.7674,435.4173,435.6406,7578805.0
2023-08-07 10:00:00,435.6406,437.0102,435.1549,436.204,10264479.0
2023-08-07 11:00:00,436.2234,436.748,435.4075,436.6411,6421970.0
2023-08-07 12:00:00,436.6411,436.9277,436.0874,436.7771,4486875.0
2023-08-07 13:00:00,436.7771,437.3211,436.6023,437.3113,4056067.0
2023-08-07 14:00:00,437.3211,437.593,436.5974,437.1948,4972792.0
2023-08-07 15:00:00,437.2045,437.9476,436.7382,437.7873,10996088.0
2023-08-07 16:00:00,437.7873,438.1467,433.8701,437.9913,11099404.0
2023-08-07 17:00:00,437.9913,445.8626,411.1466,438.0787,575660.0
2023-08-07 18:00:00,438.0107,438.0593,437.7387,437.8116,1525869.0
2023-08-07 19:00:00,437.8116,437.9039,437.7484,437.8359,23327.0
2023-08-07 20:00:00,437.797,437.797,437.797,437.797,1448758.0
2023-08-08 04:00:00,436.9617,437.0685,436.136,436.5343,44717.0
2023-08-08 05:00:00,436.544,436.5634,435.5338,435.9709,41363.0
2023-08-08 06:00:00,435.9709,436.1457,435.3104,435.4561,54232.0
2023-08-08 07:00:00,435.4949,435.5338,434.3876,434.8441,422007.0
2023-08-08 08:00:00,435.4944,437.797,433.8048,434.8927,593081.0
2023-08-08 09:00:00,434.883,436.2283,433.3045,433.7902,9359529.0
2023-08-08 10:00:00,433.7902,434.0719,432.6391,432.775,11642608.0
2023-08-08 11:00:00,432.7751,437.7826,432.5134,432.9208,7525434.0
2023-08-08 12:00:00,432.9208,434.1496,432.8626,433.7951,6700773.0
2023-08-08 13:00:00,433.8048,434.5897,433.7465,434.4312,7043422.0
2023-08-08 14:00:00,434.4361,435.7183,433.0277,435.4852,6911711.0
2023-08-08 15:00:00,435.4949,436.3594,435.3104,435.8932,14430918.0
2023-08-08 16:00:00,435.9029,437.7826,435.7086,435.864,7915672.0
2023-08-08 17:00:00,435.8737,435.9029,432.4609,435.8252,36979.0
2023-08-08 18:00:00,435.8155,435.932,435.7086,435.7863,757666.0
2023-08-08 19:00:00,435.8252,435.9126,435.3978,435.7815,34276.0
2023-08-08 20:00:00,435.8932,435.8932,435.8932,435.8932,717683.0
2023-08-09 04:00:00,437.0685,437.6902,436.7382,437.5736,30585.0
2023-08-09 05:00:00,437.5639,437.7193,437.0491,437.1851,13167.0
2023-08-09 06:00:00,437.1851,437.4959,436.9131,436.9131,12487.0
2023-08-09 07:00:00,436.8548,437.4085,436.544,437.2919,198759.0
2023-08-09 08:00:00,436.8922,437.71,435.8932,436.6217,368664.0
2023-08-09 09:00:00,436.6411,436.7285,435.1938,435.4954,4830129.0
2023-08-09 10:00:00,435.5046,435.9466,434.4459,434.5721,7465522.0
2023-08-09 11:00:00,434.577,434.8732,432.2118,432.6343,10715798.0
2023-08-09 12:00:00,432.6294,433.8436,432.4983,433.4745,6141546.0
2023-08-09 13:00:00,433.4649,435.0287,433.2705,434.6989,6735024.0
2023-08-09 14:00:00,434.7033,436.0257,434.543,435.3686,7343278.0
2023-08-09 15:00:00,435.3686,435.4366,432.6683,432.9791,23212913.0
2023-08-09 16:00:00,432.9694,436.5537,432.899,433.6493,12650587.0
2023-08-09 17:00:00,433.6493,450.8164,424.3807,433.5765,1097426.0
2023-08-09 18:00:00,433.6105,433.931,432.9791,433.8533,1120907.0
2023-08-09 19:00:00,433.8825,434.1059,433.7853,434.0087,35831.0
2023-08-09 20:00:00,432.9791,432.9791,432.9791,432.9791,1061012.0
2023-08-10 04:00:00,435.6115,435.8252,434.7761,435.6406,40245.0
2023-08-10 05:00:00,435.5532,435.796,435.3784,435.5629,17389.0
2023-08-10 06:00:00,435.592,435.592,435.0967,435.2909,38180.0
2023-08-10 07:00:00,435.3006,435.5046,434.8927,435.0481,244203.0
2023-08-10 08:00:00,435.3201,436.8354,432.9791,436.1457,2056547.0
2023-08-10 09:00:00,436.1069,438.3021,435.1549,438.2827,10412818.0
2023-08-10 10:00:00,438.2924,438.7586,435.864,436.6605,14891457.0
2023-08-10 11:00:00,436.6605,436.7577,434.0584,434.7955,12249218.0
2023-08-10 12:00:00,434.7955,435.1161,433.1637,433.5231,10401353.0
2023-08-10 13:00:00,433.5036,434.0233,431.9592,432.1169,9645075.0
2023-08-10 14:00:00,432.1292,434.6596,432.0758,434.6207,9053029.0
2023-08-10 15:00:00,434.6401,434.6596,432.2749,433.154,16568153.0
2023-08-10 16:00:00,433.1442,433.3774,432.7848,433.256,9436869.0
2023-08-10 17:00:00,433.3288,433.3288,433.1442,433.2657,51345.0
2023-08-10 18:00:00,433.2851,433.6493,433.1345,433.5619,1130192.0
2023-08-10 19:00:00,433.5425,433.7951,433.3968,433.6688,34033.0
2023-08-10 20:00:00,433.1345,433.1345,433.1345,433.1345,1088037.0
2023-08-11 04:00:00,433.5522,433.6493,432.4157,432.8043,29185.0
2023-08-11 05:00:00,432.8528,433.3191,432.27,432.6294,17944.0
2023-08-11 06:00:00,432.5129,433.2705,432.5129,432.7848,50613.0
2023-08-11 07:00:00,432.7557,433.3191,432.6877,432.8043,238227.0
2023-08-11 08:00:00,432.7751,433.7076,431.3667,431.5124,914879.0
2023-08-11 09:00:00,431.425,432.0952,430.643,431.425,6005995.0
2023-08-11 10:00:00,431.4444,433.9026,431.4444,432.5224,12038435.0
2023-08-11 11:00:00,432.5226,432.8723,431.5804,432.5613,7022983.0
2023-08-11 12:00:00,432.5532,433.1442,431.7455,431.9592,5682556.0
2023-08-11 13:00:00,431.9786,432.8043,431.7066,432.2008,5988461.0
2023-08-11 14:00:00,432.202,433.4551,432.0952,433.2705,7511339.0
2023-08-11 15:00:00,433.2705,433.3774,432.2409,432.814,15002905.0
2023-08-11 16:00:00,432.8043,433.222,432.2506,433.018,9490166.0
2023-08-11 17:00:00,433.0374,437.6367,418.091,433.0763,638064.0
